,name,price,description,trassmition,model,milage,fuel,Brand,Segment
0,Seat Leon,26118,Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,52080,Hybrid,Seat,Low-Range
1,Volvo V60,27777,T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,107217,Hybrid,Volvo,Premium
2,Volkswagen Tiguan,20392,"2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,123000,Diesel,Volkswagen,Premium
3,Volkswagen Tiguan,30967,2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,68100,Diesel,Volkswagen,Premium
4,Volkswagen Tiguan,22892,Join Start-stopp 2hand Ahk Garantie,Manual,2018,105958,Diesel,Volkswagen,Premium
5,Volkswagen Tiguan,26760,2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,127000,Diesel,Volkswagen,Premium
6,Volkswagen Tiguan,36139,"R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,50000,Petrol,Volkswagen,Premium
7,Volkswagen T-roc,38297,R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,6123,Petrol,Volkswagen,Premium
8,Volkswagen T-roc,18583,Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,139000,Diesel,Volkswagen,Premium
9,Volkswagen T-roc,21206,Sport/r-line,Manual,2019,79850,Petrol,Volkswagen,Premium
10,Volkswagen T-roc,23631,Style,Automatic,2020,68100,Petrol,Volkswagen,Premium
11,Volkswagen Polo,14942,1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,15975,Petrol,Volkswagen,Premium
12,Volkswagen Polo,22751,Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,68000,Petrol,Volkswagen,Premium
13,Volkswagen Polo,24137,"Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20,Petrol,Volkswagen,Premium
14,Volkswagen Polo,19120,"1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,17300,Petrol,Volkswagen,Premium
15,Toyota Yaris,11745,1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,96854,Petrol,Toyota,Mid-Range
16,Renault Clio,19034,V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,52000,Petrol,Renault,Unknown
17,Porsche Macan,104287,"Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380,Petrol,Porsche,Ultra-Luxury/Exotic
18,Porsche Macan,95137,"S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,14300,Petrol,Porsche,Ultra-Luxury/Exotic
19,Peugeot 3008,22354,Gt 1.6 Puretech 180 Eat8,Automatic,2021,61502,Petrol,Peugeot,Mid-Range
20,Peugeot 5008,34797,Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,8231,Petrol,Peugeot,Mid-Range
21,Peugeot 3008,28812,Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,13332,Hybrid,Peugeot,Mid-Range
22,Peugeot 508,31312,Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,17500,Petrol,Peugeot,Mid-Range
23,Peugeot 508,30839,Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,21747,Petrol,Peugeot,Mid-Range
24,Peugeot 3008,27239,Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,24800,Petrol,Peugeot,Mid-Range
25,Peugeot 508,31812,Sw Gt Pack 1.6 Puretech 225 *nav*led*szh*,Automatic,2021,11356,Petrol,Peugeot,Mid-Range
26,Peugeot 508,28339,Sw Gt 1.6 Puretech 180 *szh*navi*led*,Automatic,2021,20017,Petrol,Peugeot,Mid-Range
27,Peugeot 508,25539,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,23094,Petrol,Peugeot,Mid-Range
28,Peugeot 2008,22039,Elektro 136 Allure Klimaaut.+kamera+dab+,Automatic,2021,22690,Not specified,Peugeot,Mid-Range
29,Peugeot 508,24565,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,31520,Petrol,Peugeot,Mid-Range
30,Seat Leon,26118,Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,52080,Hybrid,Seat,Low-Range
31,Volvo V60,27777,T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,107217,Hybrid,Volvo,Premium
32,Volkswagen Tiguan,20392,"2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,123000,Diesel,Volkswagen,Premium
33,Volkswagen Tiguan,30967,2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,68100,Diesel,Volkswagen,Premium
34,Volkswagen Tiguan,22892,Join Start-stopp 2hand Ahk Garantie,Manual,2018,105958,Diesel,Volkswagen,Premium
35,Volkswagen T-roc,38297,R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,6123,Petrol,Volkswagen,Premium
36,Volkswagen Tiguan,26760,2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,127000,Diesel,Volkswagen,Premium
37,Volkswagen Tiguan,36139,"R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,50000,Petrol,Volkswagen,Premium
38,Volkswagen T-roc,18583,Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,139000,Diesel,Volkswagen,Premium
39,Volkswagen T-roc,21206,Sport/r-line,Manual,2019,79850,Petrol,Volkswagen,Premium
40,Volkswagen T-roc,23631,Style,Automatic,2020,68100,Petrol,Volkswagen,Premium
41,Volkswagen Polo,14942,1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,15975,Petrol,Volkswagen,Premium
42,Volkswagen Polo,22751,Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,68000,Petrol,Volkswagen,Premium
43,Volkswagen Polo,24137,"Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20,Petrol,Volkswagen,Premium
44,Volkswagen Polo,19120,"1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,17300,Petrol,Volkswagen,Premium
45,Toyota Yaris,11745,1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,96854,Petrol,Toyota,Mid-Range
46,Renault Clio,19034,V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,52000,Petrol,Renault,Unknown
47,Porsche Macan,104287,"Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380,Petrol,Porsche,Ultra-Luxury/Exotic
48,Porsche Macan,95137,"S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,14300,Petrol,Porsche,Ultra-Luxury/Exotic
49,Peugeot 3008,22354,Gt 1.6 Puretech 180 Eat8,Automatic,2021,61502,Petrol,Peugeot,Mid-Range
50,Peugeot 5008,34797,Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,8231,Petrol,Peugeot,Mid-Range
51,Peugeot 3008,28812,Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,13332,Hybrid,Peugeot,Mid-Range
52,Peugeot 508,31312,Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,17500,Petrol,Peugeot,Mid-Range
53,Peugeot 508,30839,Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,21747,Petrol,Peugeot,Mid-Range
54,Peugeot 3008,27239,Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,24800,Petrol,Peugeot,Mid-Range
55,Peugeot 508,31812,Sw Gt Pack 1.6 Puretech 225 *nav*led*szh*,Automatic,2021,11356,Petrol,Peugeot,Mid-Range
56,Peugeot 508,28339,Sw Gt 1.6 Puretech 180 *szh*navi*led*,Automatic,2021,20017,Petrol,Peugeot,Mid-Range
57,Peugeot 508,25539,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,23094,Petrol,Peugeot,Mid-Range
58,Peugeot 2008,22039,Elektro 136 Allure Klimaaut.+kamera+dab+,Automatic,2021,22690,Not specified,Peugeot,Mid-Range
59,Peugeot 508,24565,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,31520,Petrol,Peugeot,Mid-Range
60,Peugeot 308,12571,"Sw 1,2 Ethp Allure 1.hand,navi,xenon, Bi-xen",Manual,2016,118100,Petrol,Peugeot,Mid-Range
61,Peugeot 508,31312,Gt Pack 1.6 Puretech 225 Sw *navi*led*szh*,Automatic,2021,19637,Petrol,Peugeot,Mid-Range
62,Mini Cooper,27177,3-turer Dab Led Tempomat Klimaaut. Shz,Automatic,2023,4557,Petrol,Mini,Mid-Range
63,Mercedes-benz Classe A,30013,Progressive Mbux Navi-prem. Winter-p Kamer,Automatic,2023,11900,Petrol,Mercedes-benz,Luxury
64,Hyundai Tucson,31901,Prime Mild-hybrid 4wd*ahk*leder*360°*pano,Automatic,2021,46603,Petrol,Hyundai,Low-Range
65,Hyundai Tucson,35107,1.6 T-gdi 48v-hybrid N-line P-dach+navi+k,Automatic,2022,20990,Petrol,Hyundai,Low-Range
66,Hyundai Tucson,28497,2.0 Crdi Mild Hybrid Premium 4wd Klima,Automatic,2020,79171,Diesel,Hyundai,Low-Range
67,Fiat 500,12801,Lounge *panorama*,Manual,2020,0,Petrol,Fiat,Low-Range
68,Dacia Duster,16870,Ii Prestige,Manual,2019,13358,Petrol,Dacia,Low-Range
69,Citroen C3,14265,Feel*bluetooth*tempo*pdc,Manual,2020,25000,Petrol,Citroen,Mid-Range
70,Citroen C3,12907,"Aircross 1,2ipure-tech/navi/klima/start-stop",Manual,2020,76203,Petrol,Citroen,Mid-Range
71,Citroen C3,21301,"Max Turbo 100 Navigation, Ruckfahrkamera",Manual,2024,15,Petrol,Citroen,Mid-Range
72,Citroen C3,18450,"1.2 Puretech 110 Ab 5,49%",Manual,2023,10425,Petrol,Citroen,Mid-Range
73,Bmw X3,39197,Xdrive20d Luxury Line Head-up Led Navi H&k Hi,Automatic,2020,70566,Diesel,Bmw,Luxury
74,Bmw X1,52258,Xdrive23i Frozen Pure Grey Met.|m Sport|pano,Automatic,2022,6800,Petrol,Bmw,Luxury
75,Bmw X1,38039,Sdrive 18i Klima Pdc Shz Kamera Navi Led,Automatic,2022,38573,Petrol,Bmw,Luxury
76,Audi Q5,51325,Sportback 50 Tfsi E Quattro S Tronic S-line*a,Automatic,2021,37383,Hybrid,Audi,Luxury
77,Audi Q5,46501,40 Tdi Quattro 3x S Line Head Up Pano S Sitze,Automatic,2023,64000,Diesel,Audi,Luxury
78,Audi Q5,60937,Sportback 2xs-line Pano Ahk360° Kamera,Automatic,2024,7130,Petrol,Audi,Luxury
79,Audi Q2,30173,35 Tfsi S-line S-tronic Navi+led+gra+shzg.+17,Automatic,2023,16200,Petrol,Audi,Luxury
80,Audi Q3,22892,Sport Quattro S-line Voll Led Leder,Automatic,2017,100000,Diesel,Audi,Luxury
81,Audi Q2,28752,30 Tdi S-tronic Advanced *ahk*acc*led*17z*kam,Automatic,2022,58822,Diesel,Audi,Luxury
82,Audi Q2,25597,35 Tdi S-tronic Sport *navi*shz*17zoll,Automatic,2019,71851,Diesel,Audi,Luxury
83,Audi Q2,30157,35 Tfsi S-line S-tronic Navi+led+gra+shzg.+17,Automatic,2023,10600,Petrol,Audi,Luxury
84,Audi A6,41793,Avant 55 Tfsi E Quattro Sport Ahk Pano Matrix,Automatic,2020,89078,Hybrid,Audi,Luxury
85,Audi A4,22439,Avant 35 Tdi S-tronic Advanced Led*mmi*top,Automatic,2020,148000,Diesel,Audi,Luxury
86,Audi A6,46442,Avant 55 Tfsi Quattro Sport Led Pano B&o Ahk,Automatic,2020,37082,Petrol,Audi,Luxury
87,Audi A4,22515,Avant Sport S-line Pano Acc Apple Kamera Ahk,Automatic,2018,149999,Diesel,Audi,Luxury
88,Audi A5,74427,"Avant 40 Tdi Quattro Edition One Lp: 82.515,-",Automatic,2024,4000,Diesel,Audi,Luxury
89,Audi A4,38193,Limousine 45 Tfsi Quattro Advanced Tour Stadt,Automatic,2021,85941,Petrol,Audi,Luxury
90,Audi A4,25581,40 Avant Design 2.0 Tfsi G-tron Ahk*led*kamer,Automatic,2019,52109,Others,Audi,Luxury
91,Audi A4,27587,35 Tdi Advanced*standheizung*led*navi,Automatic,2020,76090,Diesel,Audi,Luxury
92,Audi A4,30882,Limousine 40 2.0 Tdi Advanced Leder|led|navi,Automatic,2021,47921,Petrol,Audi,Luxury
93,Audi A3,22793,Sportback 2.0 Tdi Quattro Sport Led Ahk Navi,Manual,2016,80960,Diesel,Audi,Luxury
94,Audi A3,27528,Limousine 35 Tfsi Advanced S Tro. Matrix Virt,Automatic,2020,44820,Petrol,Audi,Luxury
95,Audi A3,32794,Limousine 35 Tdi Advanced B&o Parklenkassist,Automatic,2021,64773,Diesel,Audi,Luxury
96,Audi A4,35142,Avant 35 Tfsi Ahk Pdc Sportsitze Led,Automatic,2022,56520,Petrol,Audi,Luxury
97,Audi A1,29585,"Sportback Advanced 30 Tfsi Navi+, Led, Shz",Manual,2023,6173,Petrol,Audi,Luxury
98,Audi A1,19624,Sportback 30 Tfsi 6-gang Klimaaut.,Manual,2019,71090,Petrol,Audi,Luxury
99,Audi A1,15673,"Sportback ""sitzheizung""",Manual,2017,93220,Petrol,Audi,Luxury
100,Audi A1,29585,"Sportback Advanced 30 Tfsi Navi+, Led, Shz",Manual,2023,6173,Petrol,Audi,Luxury
101,Volkswagen Tiguan,33931,2.0 Tdi Dsg Elegance 4m Ahk/kamera/acc,Automatic,2020,63818,Diesel,Volkswagen,Premium
102,Volkswagen Tiguan,28563,R-line 4x4 Digtacho Leder Ahk Kamera,Automatic,2018,97000,Diesel,Volkswagen,Premium
103,Volkswagen Tiguan,38417,Elegance 2.0 Tdi Scr Dsg*matrix*navi*keyl,Automatic,2023,6944,Diesel,Volkswagen,Premium
104,Volkswagen Tiguan,32882,Move 1.5 Tsi Act Android Auto Metalli,Automatic,2023,60806,Petrol,Volkswagen,Premium
105,Volkswagen T-roc,32812,Cabriolet 1.5 Tsi Dsg R-line Acc Led Navi,Automatic,2021,19422,Petrol,Volkswagen,Premium
106,Volkswagen T-roc,23397,1.0 Tsi Life Navi Led App-con Winterpkt,Manual,2023,17223,Petrol,Volkswagen,Premium
107,Volkswagen Tiguan,32728,2.0 Tdi Dsg R-line-nav-kam-led-ahk-hud-,Automatic,2020,47900,Diesel,Volkswagen,Premium
108,Volkswagen Tiguan,57037,"Elegance 1,5 L Ehybrid 150ps + 115ps Ahk",Automatic,2024,4999,Hybrid,Volkswagen,Premium
109,Volkswagen T-roc,29962,1.5 Tsi Dsg Active Ahk Panorama Navi Dab A,Automatic,2021,16418,Petrol,Volkswagen,Premium
110,Volkswagen T-roc,30937,Vw Style 1.5 Tsi*keyless*kamera*navi*,Manual,2024,5204,Petrol,Volkswagen,Premium
111,Volkswagen T-roc,28682,1.5 Tsi Dsg Active Panorama Navi Dab Acc L,Automatic,2021,16418,Petrol,Volkswagen,Premium
112,Volkswagen T-roc,22634,1.5 Tsi Dsg Sport-nav-led-acc-pdc-shz-,Automatic,2019,76500,Petrol,Volkswagen,Premium
113,Volkswagen T-roc,35297,1.5 Tsi Dsg Style*led/app/kamera/acc/shz*,Automatic,2024,20,Petrol,Volkswagen,Premium
114,Volkswagen T-roc,33989,1.5 Tsi Dsg Style*iq.drive*pano*park*,Automatic,2023,23270,Petrol,Volkswagen,Premium
115,Volkswagen T-roc,29309,Cabriolet 1.5 Tsi R-line Led+acc+shz+navi,Automatic,2021,29500,Petrol,Volkswagen,Premium
116,Volkswagen T-roc,20308,"1.5 Tsi Opf ""united"" Navi, App-connect, Kl",Manual,2021,57000,Petrol,Volkswagen,Premium
117,Volkswagen T-roc,23265,1.0 Cabriolet Style Tsi Bmt Navi Klima,Manual,2020,29900,Petrol,Volkswagen,Premium
118,Volkswagen Polo,23887,Vi Move Shz Rfk Lane Assist,Manual,2024,3236,Petrol,Volkswagen,Premium
119,Volkswagen Polo,16483,Cross V 1.2 Tsi Dsg Klimaaut. Sitzheiz Xenon,Automatic,2017,50000,Petrol,Volkswagen,Premium
120,Toyota Yaris,17214,Hybrid 1.5 Vvt-i Y20 Club,Automatic,2019,46960,Hybrid,Toyota,Mid-Range
121,Toyota Rav4,40371,2.5 Hybrid Lounge 4x2 *360*led*carplay*shz,Automatic,2021,23500,Hybrid,Toyota,Mid-Range
122,Renault Clio,10313,Iv Grandtour 1.2 Expression 2.hand,Manual,2015,124149,Petrol,Renault,Unknown
123,Peugeot 3008,42897,Hybrid4 300 Gt 1.6 Hybrid Panodach Navi Dig,Automatic,2023,20,Hybrid,Peugeot,Mid-Range
124,Peugeot 2008,24574,E- Gt Elektromotor 136,Automatic,2021,39717,Not specified,Peugeot,Mid-Range
125,Peugeot 208,26286,E- Elektromotor 136 Gt Navi Led Acc Apple Ca,Automatic,2022,10618,Not specified,Peugeot,Mid-Range
126,Nissan Qashqai,33222,1.3 Tekna Led+vc+acc+e-klappe+keyless,Automatic,2023,10494,Petrol,Nissan,Mid-Range
127,Nissan Qashqai,34707,1.3 Tekna+ Plus Vc+acc+pano+360°+hud,Automatic,2024,17655,Petrol,Nissan,Mid-Range
128,Nissan Qashqai,35007,1.3 Tekna+ Plus Vc+acc+pano+360°+hud,Automatic,2024,15100,Petrol,Nissan,Mid-Range
129,Nissan Qashqai,33249,1.3 Tekna+ Pano Navi Dab 360° Shz Led,Automatic,2023,24000,Petrol,Nissan,Mid-Range
130,Nissan Qashqai,21671,1.3 Dig-t 117 Kw N-connecta,Automatic,2020,61000,Petrol,Nissan,Mid-Range
131,Mercedes-benz Classe A,18449,Amg-line/stzhzg/led/navi/tempomat,Manual,2017,117000,Petrol,Mercedes-benz,Luxury
132,Mercedes-benz Classe A,32006,D Progressive Advanced Led+dab+carbon Uvm,Automatic,2023,178,Diesel,Mercedes-benz,Luxury
133,Mercedes-benz Classe A,22892,D Limousine Style Direktlenkung+agility,Automatic,2020,123443,Diesel,Mercedes-benz,Luxury
134,Hyundai Tucson,36297,1.6 Turbo 48v Dct Prime 4wd Leder Navi,Automatic,2024,10,Petrol,Hyundai,Low-Range
135,Fiat 500,12818,"Pop Star Mit Bluetooth,klima Und Garantie",Manual,2019,38354,Petrol,Fiat,Low-Range
136,Fiat 500,11646,Lounge,Manual,2016,77000,Petrol,Fiat,Low-Range
137,Dacia Duster,21936,Tce 100 2wd Eco-g Expression,Manual,2024,10,LPG,Dacia,Low-Range
138,Citroen C3,16876,Shine 1.2 E-thp Allw/led/dab/kamera/klimaauto,Manual,2023,20224,Petrol,Citroen,Mid-Range
139,Citroen C3,13038,Aircross Shine,Manual,2020,85000,Petrol,Citroen,Mid-Range
140,Fiat 500,12330,Lounge Tuv Neu Scheckheft,Manual,2020,58000,Petrol,Fiat,Low-Range
141,Citroen C3,16876,Shine 1.2 E-thp Allw/led/dab/kamera/klimaauto,Manual,2023,20224,Petrol,Citroen,Mid-Range
142,Citroen C4,26187,Max Pt130 At Business Paket Hud Navi 360 Kame,Automatic,2024,2,Petrol,Citroen,Mid-Range
143,Bmw X3,32973,Xdrive 30d Advantage/navi/panorama/led/ahk,Automatic,2019,107642,Diesel,Bmw,Luxury
144,Citroen C4,19644,Spacetourer 1.2 Pt Eat8 Selection *dab*cam*,Automatic,2020,56150,Petrol,Citroen,Mid-Range
145,Audi Q3,27407,35 Tfsi Ahk+aps+kam+vc+klima2+mmi+key,Manual,2020,73860,Petrol,Audi,Luxury
146,Audi Q5,39213,Design 40 Tdi Quattro,Automatic,2020,80952,Diesel,Audi,Luxury
147,Audi Q3,42403,Sportback S Line 35tfsi S Tron Ahk Nav Sonos,Automatic,2023,15500,Petrol,Audi,Luxury
148,Audi Q3,46977,Sportback 35 Tfsi S-line S-tr. Navi+acc+ahk,Automatic,2024,20,Petrol,Audi,Luxury
149,Audi Q3,50707,Sportback 35 Tfsi 2 X S Line Matrix Led Ruckf,Manual,2024,5000,Petrol,Audi,Luxury
150,Audi Q3,38143,Sportback 45 Tfsi Quattro S Line *edition One,Automatic,2019,53250,Petrol,Audi,Luxury
151,Audi Q2,39187,Advanced 35 Tfsi,Automatic,2024,2800,Petrol,Audi,Luxury
152,Audi A6,51763,Avant Sport Advanced 40 Tdi S Tr. Hud 360°k,Automatic,2023,27000,Diesel,Audi,Luxury
153,Audi A6,59326,Avant 40 Tdi Qu. S Tronic Advanced Pano/ahk/m,Automatic,2024,26265,Diesel,Audi,Luxury
154,Audi Q2,26831,Advanced 30 Tfsi 110 Ps Schaltgetriebe,Manual,2023,5000,Petrol,Audi,Luxury
155,Bmw X1,31431,Xdrive18d Sportline Led Navi Hud Pano Kamera,Automatic,2020,66072,Diesel,Bmw,Luxury
156,Audi Q3,29072,35 Tdi Pano+led+kam+assistenz+vc+ambiente,Automatic,2019,107500,Diesel,Audi,Luxury
157,Audi A6,39163,Avant 50 Quattro Hybrid Sport Ahk Cam Acc 18z,Automatic,2021,37955,Hybrid,Audi,Luxury
158,Audi Q3,39218,Sportback 40 Tfsi Qu. S Tr. S Line+ahzv+matrx,Automatic,2020,45616,Petrol,Audi,Luxury
159,Audi A6,36243,Avant 45 Tdi Qu S-tr. S-line Led+navi+ahk+vc,Automatic,2019,86273,Diesel,Audi,Luxury
160,Audi A6,76327,Allroad Quattro 50 Tdi Matrix*ahk*stand*hud,Automatic,2024,11866,Diesel,Audi,Luxury
161,Audi Q3,32543,Sportback 45 Tfsi E Basis Kamera/sitzhzg/einp,Automatic,2021,82484,Hybrid,Audi,Luxury
162,Audi A6,52815,Avant Sport 50 Tfsi E Qu.s Tr. B&o Navi Matri,Automatic,2023,18400,Hybrid,Audi,Luxury
163,Audi A5,41121,Cabriolet 40tfsi Advanced Matrix+,Automatic,2021,11708,Petrol,Audi,Luxury
164,Audi A6,41141,Avant 55 Quattro Hybrid Sport Ahk Acc Lm19,Automatic,2021,89522,Hybrid,Audi,Luxury
165,Audi A5,31421,Sportback 40 Tfsi Q Sport Ahk Pdc Gra Navi,Automatic,2019,50287,Petrol,Audi,Luxury
166,Audi A6,62436,Avant 45 Tfsi Qu. S Tronic S Line Pano/ahk/ac,Automatic,2024,17887,Petrol,Audi,Luxury
167,Audi A6,46892,40 Tdi Design Hud Sitzblft St.heiz Kamera,Automatic,2023,30031,Diesel,Audi,Luxury
168,Audi A4,18925,"Avant Sport,ahk,6-gang,led,navi",Manual,2017,104855,Petrol,Audi,Luxury
169,Audi A4,66437,Avant S Line 40 Tdi Quattro 150(204) Kw(ps) S,Automatic,2024,10000,Diesel,Audi,Luxury
170,Audi A5,61427,Avant Tfsi S Line Exterieur Interier S Tech M,Automatic,2024,5000,Petrol,Audi,Luxury
171,Audi A5,82286,Avant Tdi Quattro 150 Kw S Troni C,Automatic,2024,5900,Diesel,Audi,Luxury
172,Audi A4,38157,Avant 45 Tfsi Quattro S Tronic S Line Led Nav,Automatic,2020,76201,Petrol,Audi,Luxury
173,Audi A5,53616,Sportback 40 Tdi Qu. S Tronic Advanced S Line,Automatic,2024,24441,Diesel,Audi,Luxury
174,Audi A5,43192,Sportback 40 Tfsi S Tr. S Line+matrx+pano+sth,Automatic,2020,33851,Petrol,Audi,Luxury
175,Audi A5,57346,Coupe 45 Tfsi Quattro S-line*matrix*pano*virt,Automatic,2024,16700,Petrol,Audi,Luxury
176,Audi A4,34207,35 Tfsi S Tr. Led Navi Rfk Dab Sitzhzg,Automatic,2023,4600,Petrol,Audi,Luxury
177,Audi A4,21057,Lim. Design Ultra *dab + Led + Navi,Automatic,2015,121915,Petrol,Audi,Luxury
178,Audi A4,41539,Avant 40 Tfsi Q 2x S Line Matrix Ahk Virtual,Automatic,2023,25000,Petrol,Audi,Luxury
179,Audi A4,26325,Avant Quattro S-line Sport Hybr Benzin/e,Automatic,2018,143000,Petrol,Audi,Luxury
180,Audi A3,29775,Sportback 35 Tfsi Advanced,Automatic,2022,48432,Petrol,Audi,Luxury
181,Audi A3,42787,Sportback 30 Tdi S Line,Manual,2024,15000,Diesel,Audi,Luxury
182,Audi A3,44546,Sportback 40 Tfsi E S Tronic S Line Ahk/virtu,Automatic,2023,5507,Hybrid,Audi,Luxury
183,Audi A4,27325,"Avant 35 Tfsi ""navi/shz/led""",Automatic,2021,37436,Hybrid,Audi,Luxury
184,Audi A3,43287,Sportback 35 Tdi 2 X S Line Led Scheinw. Smar,Manual,2024,5000,Diesel,Audi,Luxury
185,Audi A1,32749,Sportback 35 Tfsi S Line Mmi+ Led Infotainmen,Automatic,2022,31304,Petrol,Audi,Luxury
186,Audi A1,24487,Sportback 25 Tfsi Advanced Sportsitze Optikpa,Automatic,2024,3000,Petrol,Audi,Luxury
187,Audi A1,21396,Sportback S Line 35 Tfsi 110(150) Kw(ps) S Tr,Automatic,2022,19953,Petrol,Audi,Luxury
188,Volkswagen Tiguan,51617,2.0 Tdi R-line 4motion Hd-matrix Panorama,Automatic,2024,11745,Diesel,Volkswagen,Premium
189,Volkswagen Tiguan,36959,Life Dsg Ahz Gjr Nav Kam 25% Rabatt,Automatic,2023,26490,Petrol,Volkswagen,Premium
190,Volkswagen Tiguan,30003,2.0 Tdi United *led-matrix*navi*acc*app,Automatic,2021,120187,Diesel,Volkswagen,Premium
191,Volkswagen Tiguan,38453,1.5 Tsi Dsg Move*led*kamera*,Automatic,2023,11610,Petrol,Volkswagen,Premium
192,Volkswagen Tiguan,63337,"R-line 2.0 Tdi 4m Dsg Ahk,iq.light-matrix",Automatic,2024,4000,Diesel,Volkswagen,Premium
193,Volkswagen Tiguan,36303,2.0 Tdi Dsg 4m 3 X R-line Pano/acc/ahk/20,Automatic,2021,147752,Diesel,Volkswagen,Premium
194,Volkswagen Tiguan,34708,1.5 Tsi Dsg Ahk Navi Acc Panorama Carplay,Automatic,2021,56820,Petrol,Volkswagen,Premium
195,Volkswagen Tiguan,38132,2.0tsi R-line 4motion Dsg Ahk Headup Cam,Automatic,2021,49699,Petrol,Volkswagen,Premium
196,Volkswagen Tiguan,26094,1.5 Tsi Join,Manual,2019,49800,Petrol,Volkswagen,Premium
197,Volkswagen T-roc,19294,Iq.drive,Manual,2020,99000,Diesel,Volkswagen,Premium
198,Volkswagen T-roc,26680,"1.5 Tsi Dsg Sport R-line *led*digital*19""",Automatic,2020,69991,Petrol,Volkswagen,Premium
199,Volkswagen T-roc,37287,"R-line 4m Black Pano Cam Iq.drive-acc 18""",Automatic,2024,23252,Petrol,Volkswagen,Premium
200,Volkswagen T-roc,37197,1.5 Tsi Dsg R-line Led Acc Spurpaket Winte,Automatic,2024,25,Petrol,Volkswagen,Premium
201,Volkswagen T-roc,28451,2.0 Tdi 4m Dsg Sport Ahk/pano/acc/beats/rf,Automatic,2020,69412,Diesel,Volkswagen,Premium
202,Volkswagen T-roc,37197,1.5 Tsi Dsg R-line Led Acc Spurpaket Winte,Automatic,2024,25,Petrol,Volkswagen,Premium
203,Volkswagen T-roc,34237,Style 1.5 Tsi Opf Dsg *led*navi*rear View*,Automatic,2023,1870,Petrol,Volkswagen,Premium
204,Volkswagen T-roc,42797,R-line 2.0 Tdi Dsg,Automatic,2024,7000,Diesel,Volkswagen,Premium
205,Volkswagen T-roc,21426,Sport 4motion,Automatic,2018,113000,Petrol,Volkswagen,Premium
206,Volkswagen T-roc,33213,1.5 Tsi Life Dsg Nav Digitalcockpitpro Led,Automatic,2023,13792,Petrol,Volkswagen,Premium
207,Volkswagen T-roc,28322,Sport 2.0 L Tsi Opf 4motion,Automatic,2021,47014,Petrol,Volkswagen,Premium
208,Volkswagen T-roc,46627,Cabriolet 1.5 Tsi R-line Opf Beats Black,Automatic,2024,5000,Petrol,Volkswagen,Premium
